Field Name	JS Datatype	Default	Java Datatype	Description
baseHref	Boolean	FALSE	boolean	Set it to true if you have base href set for your page. This will fix rendering problems in Firefox caused by base href.
dayNames	Array[String]	"['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']"	List<String>	"Array of day names, used when formatting dates (if categoryAxis.parseDates is set to true)"
monthNames	Array[String]	"['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December']"	List<String>	"Array of month names, used when formatting dates (if categoryAxis.parseDates is set to true)"
processDelay	Number	0	double	Delay in ms at which each chart on the page should be rendered. This is very handy if you have a lot of charts on the page and do not want to overload the device CPU.
shortDayNames	Array[String]	"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']"	List<String>	"Array of short versions of day names, used when formatting dates (if categoryAxis.parseDates is set to true)"
shortMonthNames	Array[String]	"['Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov', 'Dec']"	List<String>	"Array of short versions of month names, used when formatting dates (if categoryAxis.parseDates is set to true)"
theme	String		String	"You can set theme for all the charts on your page by setting: AmCharts.theme =AmCharts.themes.light; // or some other theme. If you are creating charts using JavaScript API, not JSON, then this is quite a comfortable way, as you won't need to pass theme to each object you create. Note, you should set theme before write method is called. There is no way to change theme of already created chart, you have to create chart's instance once more if you want to change theme."
useUTC	Boolean	FALSE	boolean	Set it to true if you want UTC time to be used instead of local time.
