Field Name	JS Datatype	Default	Java Datatype	Description
alpha	Number		double	Opacity of band fill. Will use axis.bandAlpha if not set any.
balloonText	String		String	"When rolled-over, band will display balloon if you set some text for this property."
color	Color		String	Color of a band.
endValue	Number		double	End value of a fill.
id	String		String	Unique id of a band.
innerRadius	Number/String		String	"Inner radius of a band. If not set any, the band will end with the end of minor ticks. Set 0 if you want the band to be drawn to the axis center."
radius	Number/String		String	"Band radius. If not set any, the band will start with the axis outline."
startValue	Number		double	Start value of a fill.
